"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009805","GO:0009805","coumarin biosynthetic process","19/2278","54/20876",2.0551729363181e-06,0.000106526463865822,8.97786072181067e-05,"AT3G13610/AT1G48850/AT3G59050/AT2G40890/AT1G62660/AT4G14880/AT1G28680/AT2G30490/AT3G03990/AT2G37040/AT4G13660/AT3G21230/AT5G22630/AT3G56240/AT1G22885/AT4G36640/AT1G79270/AT1G79340/AT3G02470",19
"GO:0035966","GO:0035966","response to topologically incorrect protein","70/2278","369/20876",2.71297917561145e-06,0.000131833831814869,0.000111107206369614,"AT3G57550/AT2G38290/AT4G09570/AT4G14365/AT4G26080/AT4G37640/AT5G03290/AT3G49370/AT3G09810/AT5G63400/AT5G45620/AT4G34700/AT5G67590/AT1G14450/AT4G39670/AT1G07890/AT4G34390/AT4G12720/AT3G04580/AT4G02580/AT1G12360/AT5G42010/AT3G55440/AT1G64280/AT5G40780/AT3G08720/AT4G08180/AT3G27240/AT5G66510/AT1G75390/AT4G11920/AT5G63990/AT5G08300/AT1G07000/AT5G13450/AT3G52300/AT2G33040/AT5G50870/AT5G61210/AT3G52090/AT1G12840/AT3G13430/AT3G05580/AT2G20360/AT3G20410/AT5G52840/AT1G61770/AT2G46270/AT3G01290/AT4G22910/AT1G07630/AT3G19290/AT1G15570/AT4G39890/AT3G12250/AT3G07480/AT3G49530/AT5G24810/AT3G51310/AT3G08580/AT2G18040/AT1G67350/AT4G38900/AT5G15870/AT4G17270/AT1G50740/AT5G08530/AT5G26030/AT5G15730/AT2G21390",70
"GO:0048193","GO:0048193","Golgi vesicle transport","61/2278","310/20876",3.48458905668481e-06,0.000159368705386614,0.000134313107602867,"AT3G46280/AT2G38290/AT1G56590/AT1G20575/AT4G37640/AT5G60640/AT5G55850/AT5G10260/AT2G22290/AT1G78900/AT3G11730/AT3G53670/AT4G34390/AT3G02880/AT2G03510/AT1G12360/AT4G02570/AT5G40780/AT3G19420/AT2G17720/AT4G39080/AT1G16570/AT3G53710/AT5G61530/AT5G53530/AT1G12640/AT3G47700/AT5G39590/AT5G53310/AT3G13410/AT5G61210/AT5G56020/AT5G43320/AT1G12840/AT2G02040/AT1G32130/AT5G27970/AT1G48760/AT1G62020/AT5G39500/AT1G07630/AT3G02360/AT4G39890/AT1G16560/AT5G07440/AT5G49540/AT3G24160/AT1G13980/AT4G13270/AT5G63770/AT3G55480/AT2G24765/AT5G15870/AT1G05840/AT3G52850/AT1G05350/AT5G08530/AT3G29100/AT1G17500/AT3G20560/AT2G21390",61
"GO:0010106","GO:0010106","cellular response to iron ion starvation","30/2278","116/20876",4.88087024179567e-06,0.000205128465567358,0.000172878618806134,"AT4G19680/AT1G12740/AT1G22440/AT4G02270/AT4G26010/AT1G62660/AT2G26820/AT5G26010/AT3G62270/AT2G21045/AT2G29330/AT1G51840/AT1G08670/AT4G13660/AT2G23030/AT5G44610/AT2G32270/AT2G47160/AT5G17820/AT1G68150/AT1G51830/AT4G30670/AT2G26650/AT1G60960/AT1G23020/AT3G45410/AT5G05400/AT3G23190/AT2G28960/AT4G25090",30
"GO:0044106","GO:0044106","cellular amine metabolic process","38/2278","167/20876",8.07110358720463e-06,0.000330278054686926,0.000278352464434065,"AT3G53180/AT1G51800/AT1G74540/AT3G59050/AT1G62660/AT5G17990/AT2G36880/AT2G38860/AT4G31500/AT4G39940/AT2G04400/AT1G07890/AT1G70570/AT5G60890/AT2G37040/AT5G60750/AT1G80360/AT3G59410/AT3G59760/AT1G18590/AT3G05490/AT4G15300/AT5G05590/AT4G01900/AT3G56240/AT2G20630/AT3G10670/AT5G57740/AT5G07440/AT1G13750/AT2G46650/AT1G07780/AT5G26600/AT1G66200/AT3G14930/AT5G36940/AT3G02470/AT2G06050",38
"GO:0010256","GO:0010256","endomembrane system organization","41/2278","195/20876",2.72352039393792e-05,0.000944050176664187,0.000795628681636089,"AT3G01720/AT4G01480/AT1G62660/AT4G14880/AT2G36880/AT2G16510/AT3G61440/AT5G67590/AT5G20080/AT1G78900/AT2G32080/AT1G07890/AT3G22950/AT5G55630/AT2G33470/AT3G55440/AT2G41430/AT3G15730/AT4G39080/AT3G13410/AT1G12840/AT4G01900/AT3G56240/AT3G17210/AT1G48760/AT4G32530/AT2G17130/AT2G26890/AT1G16560/AT5G51430/AT3G07980/AT3G24160/AT2G18040/AT4G03560/AT3G60600/AT1G51690/AT1G66200/AT1G79340/AT1G06040/AT1G20840/AT3G07950",41
"GO:0009611","GO:0009611","response to wounding","61/2278","335/20876",4.14715176729859e-05,0.00134350437461444,0.00113228156804534,"AT2G38870/AT4G18950/AT1G19380/AT3G17860/AT3G13610/AT2G41100/AT1G48850/AT4G27280/AT2G46370/AT1G43160/AT3G59050/AT4G26080/AT5G46050/AT2G40890/AT1G62660/AT3G51450/AT4G14880/AT4G35770/AT1G28680/AT2G30490/AT3G03990/AT3G03610/AT4G34390/AT4G12720/AT2G37040/AT1G72920/AT1G64280/AT4G13660/AT5G37770/AT4G39640/AT1G53165/AT1G66340/AT3G21230/AT3G06490/AT4G26640/AT5G12140/AT5G64930/AT5G22630/AT5G61210/AT1G74930/AT3G56240/AT2G02860/AT2G46270/AT5G05140/AT4G12030/AT1G71697/AT1G22885/AT1G09940/AT4G36640/AT2G39940/AT5G63770/AT3G48520/AT1G67560/AT5G63450/AT1G79270/AT1G79340/AT3G02470/AT1G70700/AT5G26030/AT1G21610/AT2G06050",61
"GO:1901361","GO:1901361","organic cyclic compound catabolic process","80/2278","496/20876",0.000225492472906254,0.00596197357978614,0.00502464518993653,"AT3G53180/AT1G51800/AT4G13430/AT5G17990/AT4G14880/AT2G38860/AT2G32710/AT5G42740/AT3G52990/AT5G63400/AT3G61440/AT4G31500/AT5G45620/AT4G39940/AT5G50850/AT5G67590/AT5G20080/AT4G31390/AT1G78900/AT2G04400/AT1G07890/AT5G19330/AT2G39780/AT1G18270/AT5G11840/AT4G24560/AT3G12140/AT2G37040/AT4G34110/AT5G60750/AT3G55440/AT3G06050/AT3G59760/AT3G01470/AT3G27240/AT1G04010/AT4G10320/AT1G68290/AT1G33980/AT1G50200/AT2G41430/AT3G15730/AT5G08300/AT4G04040/AT1G18590/AT5G61580/AT3G51970/AT4G15300/AT5G19420/AT5G53460/AT5G22250/AT4G02020/AT4G32850/AT5G58720/AT1G50410/AT4G31430/AT5G28050/AT3G17210/AT2G20630/AT3G24740/AT3G10670/AT3G19553/AT4G24680/AT2G40930/AT1G13750/AT2G46650/AT4G26970/AT2G18040/AT5G26600/AT5G44070/AT1G66200/AT4G22310/AT3G14930/AT1G06040/AT1G27450/AT3G45190/AT5G36940/AT2G06050/AT3G02780/AT3G16830",80
"GO:0031667","GO:0031667","response to nutrient levels","58/2278","335/20876",0.000256864038799535,0.00624099344270745,0.00525979816291811,"AT4G19680/AT5G51060/AT3G62680/AT1G12740/AT1G22440/AT2G38290/AT4G02270/AT4G26010/AT3G48090/AT4G12250/AT5G57910/AT1G62660/AT2G26820/AT5G26010/AT1G21400/AT3G02570/AT3G62270/AT3G49630/AT2G21045/AT3G03610/AT1G67600/AT5G60890/AT2G29330/AT1G51840/AT1G08670/AT4G13660/AT2G02470/AT4G04040/AT3G44510/AT4G39080/AT2G23030/AT5G61420/AT5G44610/AT2G03260/AT3G01090/AT2G32270/AT1G12640/AT2G47160/AT1G08310/AT5G17820/AT1G68150/AT5G21040/AT3G13450/AT5G60410/AT5G42870/AT2G26890/AT1G51830/AT4G30670/AT2G26650/AT1G60960/AT1G23020/AT3G45410/AT5G05400/AT1G15460/AT4G04800/AT3G23190/AT2G28960/AT4G25090",58
"GO:0009627","GO:0009627","systemic acquired resistance","73/2278","446/20876",0.000266813412566239,0.00638299779293079,0.00537947690113307,"AT5G25440/AT5G60950/AT4G35630/AT1G33600/AT2G38290/AT3G48090/AT4G09570/AT2G46370/AT4G14365/AT4G26910/AT4G26080/AT5G44580/AT5G17990/AT4G37640/AT2G38860/AT1G28680/AT5G22530/AT2G47240/AT5G60900/AT2G04400/AT2G04430/AT4G34390/AT4G12720/AT2G40270/AT3G05650/AT1G75020/AT4G24920/AT1G73805/AT4G04220/AT1G29690/AT3G59760/AT1G64280/AT2G35650/AT2G40765/AT2G16060/AT4G08180/AT5G22000/AT4G39830/AT5G08300/AT4G39640/AT5G04720/AT2G17720/AT3G06300/AT1G07000/AT3G13100/AT2G04450/AT5G61010/AT5G64930/AT1G49860/AT1G30210/AT5G61210/AT1G10340/AT1G05300/AT1G32130/AT5G62150/AT3G20410/AT5G60410/AT1G07630/AT3G48080/AT4G39890/AT4G04700/AT4G35600/AT3G12250/AT2G21120/AT3G09830/AT4G18430/AT1G13750/AT4G23810/AT5G44070/AT1G53230/AT5G37480/AT3G14470/AT4G33360",73
"GO:0009593","GO:0009593","detection of chemical stimulus","8/2278","18/20876",0.000316769731985529,0.0069596428236335,0.00586546306679553,"AT4G14640/AT4G32040/AT1G53910/AT1G66340/AT3G01090/AT4G26570/AT5G60410/AT4G26160",8
"GO:0043413","GO:0043413","macromolecule glycosylation","36/2278","183/20876",0.000326722782074113,0.0069596428236335,0.00586546306679553,"AT1G20575/AT2G35610/AT3G14230/AT2G41900/AT1G27600/AT3G59770/AT5G01010/AT1G70570/AT4G24560/AT2G24360/AT4G34110/AT3G03380/AT5G11700/AT4G02570/AT2G17020/AT5G22450/AT1G53570/AT1G53165/AT3G09690/AT3G01090/AT4G19110/AT3G20770/AT4G32920/AT5G06120/AT1G54920/AT1G50410/AT1G32130/AT5G24450/AT2G18750/AT4G26970/AT5G66250/AT3G52850/AT3G12570/AT3G62360/AT3G33530/AT1G33050",36
"GO:0070085","GO:0070085","glycosylation","36/2278","183/20876",0.000326722782074113,0.0069596428236335,0.00586546306679553,"AT1G20575/AT2G35610/AT3G14230/AT2G41900/AT1G27600/AT3G59770/AT5G01010/AT1G70570/AT4G24560/AT2G24360/AT4G34110/AT3G03380/AT5G11700/AT4G02570/AT2G17020/AT5G22450/AT1G53570/AT1G53165/AT3G09690/AT3G01090/AT4G19110/AT3G20770/AT4G32920/AT5G06120/AT1G54920/AT1G50410/AT1G32130/AT5G24450/AT2G18750/AT4G26970/AT5G66250/AT3G52850/AT3G12570/AT3G62360/AT3G33530/AT1G33050",36
"GO:0019439","GO:0019439","aromatic compound catabolic process","78/2278","488/20876",0.000356223948285536,0.00738570986112012,0.00622454478056832,"AT3G53180/AT1G51800/AT4G13430/AT5G17990/AT4G14880/AT2G38860/AT2G32710/AT5G42740/AT3G52990/AT5G63400/AT3G61440/AT4G31500/AT5G45620/AT4G39940/AT5G50850/AT5G67590/AT5G20080/AT4G31390/AT1G78900/AT2G04400/AT1G07890/AT5G19330/AT2G39780/AT1G18270/AT5G11840/AT4G24560/AT3G12140/AT2G37040/AT4G34110/AT5G60750/AT3G55440/AT3G06050/AT3G59760/AT3G01470/AT3G27240/AT4G10320/AT1G68290/AT1G33980/AT1G50200/AT2G41430/AT3G15730/AT5G08300/AT4G04040/AT1G18590/AT5G61580/AT4G15300/AT5G19420/AT5G53460/AT5G22250/AT4G02020/AT4G32850/AT5G58720/AT1G50410/AT4G31430/AT5G28050/AT3G17210/AT2G20630/AT3G24740/AT3G10670/AT3G19553/AT4G24680/AT2G40930/AT1G13750/AT2G46650/AT4G26970/AT2G18040/AT5G26600/AT5G44070/AT1G66200/AT4G22310/AT3G14930/AT1G06040/AT1G27450/AT3G45190/AT5G36940/AT2G06050/AT3G02780/AT3G16830",78
