Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Nonsupp,GO:0010015,root morphogenesis,47/617,458/20876,1.166183079260516e-13,5.442187703215742e-12,4.403875575628528e-12,AT3G02240/AT4G25220/AT5G51060/AT5G22410/AT3G62680/AT2G19060/AT5G06640/AT5G04960/AT5G57540/AT5G24313/AT5G57530/AT1G12040/AT1G54970/AT2G20520/AT4G40090/AT5G67400/AT5G19800/AT4G02270/AT4G26010/AT5G35190/AT4G25820/AT4G25790/AT1G27740/AT1G34510/AT3G10710/AT5G05500/AT1G62980/AT1G25220/AT4G27290/AT1G30870/AT3G54870/AT2G44110/AT1G12560/AT4G30320/AT3G04630/AT4G33730/AT1G32230/AT1G21210/AT5G43520/AT5G54040/AT3G05490/AT3G16370/AT4G16370/AT1G49860/AT1G21410/AT5G05730/AT5G51310,47
Nonsupp,GO:0090627,plant epidermal cell differentiation,42/617,375/20876,1.3135906268934948e-13,5.8848860084828564e-12,4.762111704232838e-12,AT3G02240/AT4G25220/AT5G51060/AT5G22410/AT3G62680/AT2G19060/AT5G06640/AT5G04960/AT5G57540/AT5G24313/AT5G57530/AT1G12040/AT1G54970/AT2G20520/AT4G40090/AT5G67400/AT5G19800/AT4G02270/AT4G26010/AT5G35190/AT4G25820/AT4G25790/AT1G27740/AT1G34510/AT3G10710/AT5G05500/AT1G62980/AT4G27290/AT1G30870/AT3G54870/AT2G44110/AT1G12560/AT4G30320/AT4G33730/AT1G21210/AT5G43520/AT5G54040/AT3G05490/AT3G16370/AT4G16370/AT1G49860/AT5G51310,42
Nonsupp,GO:0009407,toxin catabolic process,31/617,211/20876,1.7214271508428236e-13,7.415378495938318e-12,6.000602335529034e-12,AT4G18170/AT1G17180/AT3G13610/AT1G02930/AT4G02520/AT2G15490/AT5G16970/AT2G35730/AT2G36950/AT1G23550/AT1G78360/AT5G16980/AT2G29450/AT1G05680/AT5G48180/AT4G21120/AT3G47780/AT1G02920/AT1G60430/AT1G49860/AT1G27140/AT3G28740/AT1G05560/AT5G12110/AT2G34500/AT2G26150/AT1G75270/AT2G39200/AT4G26470/AT2G02930/AT2G47730,31
Nonsupp,GO:0098754,detoxification,32/617,226/20876,1.9826488313602372e-13,8.224321078235057e-12,6.655207188308634e-12,AT4G18170/AT1G17180/AT3G13610/AT1G02930/AT4G02520/AT2G15490/AT5G16970/AT2G35730/AT2G36950/AT1G23550/AT1G78360/AT5G16980/AT2G29450/AT1G05680/AT5G48180/AT4G21120/AT3G47780/AT1G02920/AT1G60430/AT1G49860/AT1G27140/AT3G28740/AT1G05560/AT5G12110/AT2G34500/AT2G26150/AT1G75270/AT2G39200/AT4G26470/AT3G58810/AT2G02930/AT2G47730,32
Nonsupp,GO:0017000,antibiotic biosynthetic process,36/617,288/20876,2.891745057750772e-13,1.1566980231003088e-11,9.360122160614343e-12,AT4G14365/AT1G18570/AT1G28470/AT4G39670/AT2G04430/AT4G12720/AT1G73805/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT3G47480/AT5G61900/AT3G56710/AT1G10340/AT5G66570/AT2G46400/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT3G17700/AT3G07720/AT1G01560/AT5G43910/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT2G39010/AT2G45760/AT5G26920,36
Nonsupp,GO:0031348,negative regulation of defense response,35/617,277/20876,4.5239898767066067e-13,1.7471960903142756e-11,1.4138494678201049e-11,AT4G14365/AT1G18570/AT2G38860/AT1G28480/AT5G60900/AT4G39670/AT2G04430/AT4G12720/AT1G73805/AT1G32230/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G24930/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT3G47480/AT5G61900/AT3G56710/AT5G66570/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G02380/AT3G17700/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,35
Nonsupp,GO:0035556,intracellular signal transduction,48/617,495/20876,5.216171947696436e-13,1.9473708604733364e-11,1.5758329989356607e-11,AT3G23250/AT3G54150/AT2G41100/AT5G37490/AT4G14365/AT2G37430/AT1G18570/AT1G27730/AT1G28480/AT3G21510/AT5G60900/AT4G39670/AT4G12720/AT3G04640/AT1G73805/AT1G32230/AT4G03280/AT1G76650/AT4G16350/AT3G56400/AT5G24930/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT5G01820/AT5G47730/AT3G47480/AT3G56710/AT5G66570/AT3G53600/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G02380/AT3G17700/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT3G24500/AT4G01250/AT5G25350/AT4G36250/AT5G26920/AT4G26560,48
Nonsupp,GO:0071407,cellular response to organic cyclic compound,42/617,393/20876,6.415093725918729e-13,2.3177112816222506e-11,1.8755163660495843e-11,AT4G18950/AT4G33070/AT4G14365/AT2G44080/AT1G18570/AT1G28480/AT5G60900/AT4G39670/AT2G04430/AT4G12720/AT5G11920/AT1G73805/AT1G32230/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G24930/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT1G49860/AT3G47480/AT5G61900/AT3G56710/AT5G41410/AT5G66570/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G04700/AT4G02380/AT3G17700/AT2G18690/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,42
Nonsupp,GO:0009627,systemic acquired resistance,45/617,446/20876,7.197209190093907e-13,2.5190232165328674e-11,2.0384201028522548e-11,AT4G33070/AT4G14365/AT5G17990/AT1G18570/AT2G38860/AT1G28480/AT5G60900/AT2G04400/AT2G04430/AT4G12720/AT5G11920/AT1G73805/AT1G32230/AT4G03280/AT1G19250/AT5G14930/AT3G56400/AT5G24930/AT5G66190/AT2G04450/AT1G49860/AT3G47480/AT5G61900/AT3G56710/AT1G10340/AT5G41410/AT5G62150/AT5G66570/AT2G46400/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G04700/AT4G02380/AT3G17700/AT3G07720/AT1G01560/AT5G43910/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT2G45760/AT5G26920,45
Nonsupp,GO:0006865,amino acid transport,33/617,255/20876,1.0884216701241098e-12,3.694037183451524e-11,2.9892537734509045e-11,AT4G18170/AT5G39580/AT1G64380/AT2G38870/AT4G01700/AT2G27660/AT2G42360/AT5G24230/AT5G16970/AT1G48640/AT1G74010/AT1G51790/AT1G78360/AT4G37900/AT3G56200/AT1G09070/AT4G21120/AT1G57630/AT3G54140/AT5G59480/AT3G54420/AT1G51620/AT5G09220/AT5G67340/AT3G18250/AT2G24762/AT3G01760/AT2G39200/AT2G44370/AT1G17500/AT5G48430/AT2G20320/AT1G74000,33
Nonsupp,GO:0009751,response to salicylic acid,46/617,473/20876,1.4663450569489568e-12,4.830313128773034e-11,3.908740229204495e-11,AT4G18950/AT1G43160/AT4G33070/AT4G14365/AT1G18570/AT1G28480/AT5G60900/AT4G39670/AT2G04430/AT4G12720/AT5G11920/AT1G73805/AT1G32230/AT4G03280/AT5G14930/AT1G53940/AT1G66090/AT3G56400/AT5G24930/AT4G04695/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT1G49860/AT3G47480/AT5G61900/AT3G56710/AT5G41410/AT5G66570/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G04700/AT4G02380/AT3G17700/AT2G18690/AT1G01560/AT1G05560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT1G76680/AT5G26920,46
Nonsupp,GO:0009862,"systemic acquired resistance, salicylic acid mediated signaling pathway",32/617,251/20876,3.6226877691375736e-12,1.1592600861240236e-10,9.380854644293087e-11,AT4G33070/AT4G14365/AT1G18570/AT1G28480/AT5G60900/AT4G12720/AT5G11920/AT1G73805/AT1G32230/AT4G03280/AT3G56400/AT5G24930/AT5G66190/AT2G04450/AT1G49860/AT3G47480/AT3G56710/AT5G41410/AT5G66570/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G04700/AT4G02380/AT3G17700/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,32
Nonsupp,GO:0016999,antibiotic metabolic process,45/617,470/20876,4.4341328764536236e-12,1.379508006007794e-10,1.1163123995984126e-10,AT4G33070/AT4G14365/AT1G18570/AT1G28480/AT1G28470/AT5G60900/AT4G39670/AT2G04430/AT4G12720/AT5G11920/AT1G73805/AT4G03280/AT5G14930/AT1G66090/AT3G56400/AT5G24930/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT1G49860/AT3G47480/AT5G61900/AT3G56710/AT1G10340/AT5G66570/AT2G46400/AT1G63940/AT2G26560/AT4G39890/AT5G67340/AT3G48640/AT4G04700/AT3G17700/AT3G07720/AT1G01560/AT5G43910/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT1G66200/AT2G39010/AT2G45760/AT5G26920,45
Nonsupp,GO:0009626,plant-type hypersensitive response,41/617,400/20876,4.7171937037337735e-12,1.4279072832923855e-10,1.1554776042431805e-10,AT4G18950/AT2G41100/AT4G14365/AT1G18570/AT1G28480/AT5G60900/AT4G39670/AT4G12720/AT3G44720/AT5G41400/AT1G73805/AT1G32230/AT4G03280/AT1G19250/AT1G09070/AT1G66090/AT3G07040/AT3G56400/AT5G24930/AT5G66190/AT4G21120/AT1G57630/AT2G04450/AT3G47480/AT5G61900/AT3G54420/AT5G66570/AT3G01290/AT2G26560/AT5G09220/AT5G67340/AT4G02380/AT3G17700/AT2G18690/AT1G13110/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,41
Nonsupp,GO:0034050,host programmed cell death induced by symbiont,41/617,401/20876,5.111279916241502e-12,1.506482501629074e-10,1.2190614980287907e-10,AT4G18950/AT2G41100/AT4G14365/AT1G18570/AT1G28480/AT5G60900/AT4G39670/AT4G12720/AT3G44720/AT5G41400/AT1G73805/AT1G32230/AT4G03280/AT1G19250/AT1G09070/AT1G66090/AT3G07040/AT3G56400/AT5G24930/AT5G66190/AT4G21120/AT1G57630/AT2G04450/AT3G47480/AT5G61900/AT3G54420/AT5G66570/AT3G01290/AT2G26560/AT5G09220/AT5G67340/AT4G02380/AT3G17700/AT2G18690/AT1G13110/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,41
Nonsupp,GO:0010310,regulation of hydrogen peroxide metabolic process,27/617,186/20876,8.525783289854495e-12,2.448430072983855e-10,1.9812953880066725e-10,AT4G33070/AT4G14365/AT1G18570/AT1G28480/AT5G60900/AT4G12720/AT5G11920/AT1G73805/AT4G03280/AT3G56400/AT5G24930/AT5G66190/AT2G04450/AT1G49860/AT3G47480/AT3G56710/AT5G66570/AT2G26560/AT3G48640/AT4G04700/AT3G17700/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,27
Nonsupp,GO:0000041,transition metal ion transport,30/617,231/20876,1.0754663192253163e-11,3.0113056938308857e-10,2.436780265402625e-10,AT5G01490/AT4G19680/AT1G12740/AT4G02270/AT4G26010/AT5G06740/AT2G26820/AT3G21510/AT1G07560/AT3G09290/AT2G29330/AT5G26280/AT3G54040/AT5G43520/AT4G38830/AT1G09090/AT3G47040/AT2G41480/AT5G45070/AT4G14630/AT2G21550/AT5G23190/AT3G46900/AT4G26470/AT1G68880/AT3G49860/AT1G18970/AT3G23190/AT3G58810/AT4G25090,30
Nonsupp,GO:0012501,programmed cell death,43/617,448/20876,1.2434363006908702e-11,3.3967040409116453e-10,2.7486486646850825e-10,AT4G18950/AT3G13610/AT2G41100/AT4G25110/AT4G14365/AT1G18570/AT1G28480/AT5G60900/AT4G39670/AT4G12720/AT3G44720/AT5G41400/AT1G73805/AT1G32230/AT4G03280/AT1G19250/AT1G09070/AT1G66090/AT3G07040/AT3G56400/AT5G24930/AT5G66190/AT4G21120/AT1G57630/AT2G04450/AT3G47480/AT5G61900/AT3G54420/AT5G66570/AT3G01290/AT2G26560/AT5G09220/AT5G67340/AT4G02380/AT3G17700/AT2G18690/AT1G13110/AT1G01560/AT3G52430/AT4G33050/AT5G05730/AT3G54640/AT5G26920,43
Nonsupp,GO:0015849,organic acid transport,33/617,280/20876,1.459174744606141e-11,3.800641195253204e-10,3.075518861948317e-10,AT4G18170/AT5G39580/AT1G64380/AT2G38870/AT4G01700/AT2G27660/AT2G42360/AT5G24230/AT5G16970/AT1G48640/AT1G74010/AT1G51790/AT1G78360/AT4G37900/AT3G56200/AT1G09070/AT4G21120/AT1G57630/AT3G54140/AT5G59480/AT3G54420/AT1G51620/AT5G09220/AT5G67340/AT3G18250/AT2G24762/AT3G01760/AT2G39200/AT2G44370/AT1G17500/AT5G48430/AT2G20320/AT1G74000,33
