ID,cl,GeneID,Gene,Description
AT5G48930.1,2,AT5G48930,HST,Shikimate O-hydroxycinnamoyltransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9FI78]
AT1G33590.3,2,AT1G33590,AT1G33590,Leucine-rich repeat (LRR) family protein [Source:TAIR;Acc:AT1G33590]
AT3G62600.1,2,AT3G62600,ERDJ3B,DnaJ protein ERDJ3B [Source:UniProtKB/Swiss-Prot;Acc:Q9LZK5]
AT5G67340.1,2,AT5G67340,PUB2,U-box domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q5XEZ8]
AT5G67340.2,2,AT5G67340,PUB2,U-box domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q5XEZ8]
AT3G18280.1,2,AT3G18280,AT3G18280,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LP30]
AT5G53760.2,2,AT5G53760,MLO11,MLO-like protein [Source:UniProtKB/TrEMBL;Acc:B9DGT8]
AT4G16760.1,2,AT4G16760,ACX1,Peroxisomal acyl-coenzyme A oxidase 1 [Source:UniProtKB/Swiss-Prot;Acc:O65202]
AT4G05590.1,2,AT4G05590,AT4G05590,CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0041 (InterPro:IPR005336); BEST Arabidopsis thaliana protein match is: Uncharacterised protein family (UPF0041) (TAIR:AT4G22310.1); Has 30201 Blast hits to 17322 proteins in 780 species:  /.../ - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT4G05590]
AT1G61660.2,2,AT1G61660,BHLH112,Transcription factor bHLH112 [Source:UniProtKB/Swiss-Prot;Acc:Q94JL3]
AT1G61660.3,4,AT1G61660,BHLH112,Transcription factor bHLH112 [Source:UniProtKB/Swiss-Prot;Acc:Q94JL3]
AT4G34710.1,2,AT4G34710,ADC2,Arginine decarboxylase 2 [Source:UniProtKB/Swiss-Prot;Acc:O23141]
AT4G34710.2,2,AT4G34710,ADC2,Arginine decarboxylase 2 [Source:UniProtKB/Swiss-Prot;Acc:O23141]
AT1G05010.1,2,AT1G05010,ACO4,1-aminocyclopropane-1-carboxylate oxidase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q06588]
AT1G12050.1,2,AT1G12050,FAH,Fumarylacetoacetase [Source:UniProtKB/Swiss-Prot;Acc:Q8RW90]
AT1G11000.3,2,AT1G11000,MLO4,MLO-like protein 4 [Source:UniProtKB/Swiss-Prot;Acc:O23693]
AT5G01540.1,2,AT5G01540,LECRK62,L-type lectin-domain containing receptor kinase VI.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9M021]
AT2G25110.1,2,AT2G25110,SDF2,Stromal cell-derived factor 2-like protein [Source:UniProtKB/Swiss-Prot;Acc:Q93ZE8]
AT1G51680.1,2,AT1G51680,4CL1,4-coumarate--CoA ligase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q42524]
AT1G51680.2,2,AT1G51680,4CL1,4-coumarate--CoA ligase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q42524]
AT1G28190.1,2,AT1G28190,AT1G28190,F3H9.15 protein [Source:UniProtKB/TrEMBL;Acc:Q9FZ93]
AT5G45110.1,2,AT5G45110,NPR3,NPR3 [Source:UniProtKB/TrEMBL;Acc:A0A178UGU4]
AT2G19190.1,2,AT2G19190,SIRK,Senescence-induced receptor-like serine/threonine-protein kinase [Source:UniProtKB/Swiss-Prot;Acc:O64483]
