Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
cluster4,GO:0010106,cellular response to iron ion starvation,10/379,116/20876,5.110183943350469e-5,0.004373465758184109,0.003967116482337865,AT2G29330/AT1G09090/AT1G05260/AT2G47160/AT5G17820/AT4G26010/AT4G19680/AT2G28960/AT1G23020/AT1G18980,10
cluster4,GO:0055076,transition metal ion homeostasis,12/379,176/20876,9.38895011070282e-5,0.007417270587455228,0.006728114046940886,AT2G29330/AT1G09090/AT1G05260/AT5G13740/AT3G56240/AT2G47160/AT5G17820/AT4G26010/AT4G19680/AT2G28960/AT1G23020/AT1G18980,12
cluster4,GO:0006879,cellular iron ion homeostasis,10/379,127/20876,1.0986238893056205e-4,0.00805919095940623,0.0073103920453795055,AT2G29330/AT1G09090/AT1G05260/AT2G47160/AT5G17820/AT4G26010/AT4G19680/AT2G28960/AT1G23020/AT1G18980,10
cluster4,GO:0046916,cellular transition metal ion homeostasis,11/379,154/20876,1.2109628875763962e-4,0.008291059236939726,0.007520716880737619,AT2G29330/AT1G09090/AT1G05260/AT3G56240/AT2G47160/AT5G17820/AT4G26010/AT4G19680/AT2G28960/AT1G23020/AT1G18980,11
cluster2,GO:0015849,organic acid transport,43/503,280/20876,2.256450240396597e-22,1.3143822650310176e-19,1.0130273973991037e-19,AT4G02330/AT1G76930/AT3G47380/AT5G13490/AT2G19190/AT4G18170/AT4G22470/AT1G09560/AT5G49630/AT1G65730/AT5G50200/AT1G58360/AT5G65870/AT5G06860/AT5G54300/AT1G51850/AT1G21010/AT5G65990/AT1G51800/AT3G20500/AT1G65690/AT3G02360/AT1G51820/AT4G21120/AT5G67340/AT5G41800/AT5G51640/AT1G30700/AT1G74000/AT3G18440/AT1G66160/AT3G04070/AT1G76520/AT3G13790/AT1G08430/AT2G42360/AT4G24380/AT1G02360/AT1G61890/AT4G15610/AT1G01010/AT5G17000/AT1G77380,43
cluster2,GO:0046942,carboxylic acid transport,43/503,280/20876,2.256450240396597e-22,1.3143822650310176e-19,1.0130273973991037e-19,AT4G02330/AT1G76930/AT3G47380/AT5G13490/AT2G19190/AT4G18170/AT4G22470/AT1G09560/AT5G49630/AT1G65730/AT5G50200/AT1G58360/AT5G65870/AT5G06860/AT5G54300/AT1G51850/AT1G21010/AT5G65990/AT1G51800/AT3G20500/AT1G65690/AT3G02360/AT1G51820/AT4G21120/AT5G67340/AT5G41800/AT5G51640/AT1G30700/AT1G74000/AT3G18440/AT1G66160/AT3G04070/AT1G76520/AT3G13790/AT1G08430/AT2G42360/AT4G24380/AT1G02360/AT1G61890/AT4G15610/AT1G01010/AT5G17000/AT1G77380,43
cluster2,GO:0006865,amino acid transport,41/503,255/20876,3.7459182103435244e-22,1.4546649050167352e-19,1.1211467485694832e-19,AT4G02330/AT1G76930/AT3G47380/AT5G13490/AT2G19190/AT4G18170/AT4G22470/AT1G09560/AT5G49630/AT1G65730/AT5G50200/AT1G58360/AT5G65870/AT5G06860/AT5G54300/AT1G51850/AT1G21010/AT5G65990/AT1G51800/AT3G20500/AT1G65690/AT3G02360/AT1G51820/AT4G21120/AT5G67340/AT5G41800/AT5G51640/AT1G30700/AT1G74000/AT1G66160/AT3G04070/AT1G76520/AT3G13790/AT2G42360/AT4G24380/AT1G02360/AT1G61890/AT4G15610/AT1G01010/AT5G17000/AT1G77380,41
cluster2,GO:0015711,organic anion transport,44/503,302/20876,6.253836567145903e-22,1.8214299001812444e-19,1.4038217346777517e-19,AT4G02330/AT1G76930/AT2G38530/AT3G47380/AT5G13490/AT2G19190/AT4G18170/AT4G22470/AT1G09560/AT5G49630/AT1G65730/AT5G50200/AT1G58360/AT5G65870/AT5G06860/AT5G54300/AT1G51850/AT1G21010/AT5G65990/AT1G51800/AT3G20500/AT1G65690/AT3G02360/AT1G51820/AT4G21120/AT5G67340/AT5G41800/AT5G51640/AT1G30700/AT1G74000/AT3G18440/AT1G66160/AT3G04070/AT1G76520/AT3G13790/AT1G08430/AT2G42360/AT4G24380/AT1G02360/AT1G61890/AT4G15610/AT1G01010/AT5G17000/AT1G77380,44
cluster2,GO:0015804,neutral amino acid transport,18/503,77/20876,2.439049985013114e-13,5.682986465080556e-11,4.380020288876182e-11,AT4G02330/AT3G47380/AT4G22470/AT1G58360/AT5G65870/AT5G54300/AT1G21010/AT1G51800/AT3G20500/AT1G51820/AT4G21120/AT5G41800/AT1G66160/AT1G76520/AT2G42360/AT4G24380/AT1G61890/AT5G17000,18
cluster2,GO:0015824,proline transport,17/503,74/20876,1.538541768086591e-12,2.987335266368131e-10,2.302414259961162e-10,AT4G02330/AT3G47380/AT4G22470/AT5G65870/AT5G54300/AT1G21010/AT1G51800/AT3G20500/AT1G51820/AT4G21120/AT5G41800/AT1G66160/AT1G76520/AT2G42360/AT4G24380/AT1G61890/AT5G17000,17
cluster2,GO:0045088,regulation of innate immune response,34/503,419/20876,7.509168695880597e-10,1.2379238614478554e-7,9.540989869573262e-8,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT5G59890/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT2G25110/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT3G62600/AT1G77380,34
cluster2,GO:0050776,regulation of immune response,34/503,421/20876,8.500764713805016e-10,1.2379238614478554e-7,9.540989869573262e-8,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT5G59890/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT2G25110/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT3G62600/AT1G77380,34
cluster2,GO:0002682,regulation of immune system process,34/503,424/20876,1.0223019287990005e-9,1.3233130522787065e-7,1.0199105792579503e-7,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT5G59890/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT2G25110/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT3G62600/AT1G77380,34
cluster2,GO:0008219,cell death,37/503,496/20876,1.36391044448802e-9,1.5889556678285433e-7,1.2246480096297696e-7,AT2G38530/AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT1G12050/AT5G47910/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G11000/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT5G46180/AT5G53760/AT1G77380,37
cluster2,GO:0010363,regulation of plant-type hypersensitive response,31/503,371/20876,2.130420651967082e-9,2.2563091450378642e-7,1.7389940824190635e-7,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT1G77380,31
cluster2,GO:0006612,protein targeting to membrane,31/503,374/20876,2.584863885015125e-9,2.2956451116389238e-7,1.7693112990539892e-7,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT1G15310/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT1G77380,31
cluster2,GO:0043067,regulation of programmed cell death,32/503,396/20876,2.660178966841899e-9,2.2956451116389238e-7,1.7693112990539892e-7,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT5G47910/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT1G77380,32
cluster2,GO:0072657,protein localization to membrane,31/503,377/20876,3.1294444524424642e-9,2.2956451116389238e-7,1.7693112990539892e-7,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT1G15310/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT1G77380,31
cluster2,GO:0090150,establishment of protein localization to membrane,31/503,377/20876,3.1294444524424642e-9,2.2956451116389238e-7,1.7693112990539892e-7,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT1G15310/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT1G77380,31
cluster2,GO:0010200,response to chitin,33/503,421/20876,3.2047416698842316e-9,2.2956451116389238e-7,1.7693112990539892e-7,AT3G47380/AT2G19190/AT1G19380/AT2G23320/AT5G45110/AT4G28350/AT1G18570/AT5G01540/AT4G21390/AT2G35160/AT1G51800/AT1G51820/AT3G23250/AT3G55430/AT1G26420/AT5G64120/AT2G38250/AT1G66160/AT1G05010/AT4G23190/AT4G20830/AT3G13790/AT2G32190/AT1G74650/AT5G66210/AT3G18710/AT2G42360/AT5G66070/AT5G64660/AT1G02360/AT1G61890/AT4G22530/AT1G61360,33
cluster2,GO:0009626,plant-type hypersensitive response,32/503,400/20876,3.400681124093407e-9,2.2956451116389238e-7,1.7693112990539892e-7,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT5G46180/AT1G77380,32
cluster2,GO:0034050,host programmed cell death induced by symbiont,32/503,401/20876,3.6140384080570837e-9,2.2956451116389238e-7,1.7693112990539892e-7,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT5G46180/AT1G77380,32
cluster2,GO:0009627,systemic acquired resistance,34/503,446/20876,3.743970568338159e-9,2.2956451116389238e-7,1.7693112990539892e-7,AT5G63780/AT1G25275/AT3G47380/AT2G19190/AT1G09560/AT5G17990/AT5G20830/AT3G43190/AT3G07720/AT3G04720/AT5G39890/AT5G45110/AT2G16060/AT5G50200/AT2G38860/AT5G06860/AT1G33590/AT2G29120/AT2G43000/AT2G32920/AT4G25900/AT1G18570/AT5G01540/AT5G38900/AT4G10500/AT1G65690/AT2G25110/AT1G77510/AT5G67340/AT4G16660/AT5G25440/AT1G05010/AT4G08850/AT3G62600,34
cluster2,GO:0012501,programmed cell death,34/503,448/20876,4.193659103609037e-9,2.40336212105502e-7,1.852331501477237e-7,AT2G38530/AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT5G47910/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT5G46180/AT1G77380,34
cluster2,GO:0010941,regulation of cell death,32/503,404/20876,4.3322407332322244e-9,2.40336212105502e-7,1.852331501477237e-7,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT5G47910/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT1G77380,32
cluster2,GO:0080135,regulation of cellular response to stress,31/503,385/20876,5.1568895225898515e-9,2.730807406280535e-7,2.1047018003680117e-7,AT5G63780/AT3G47380/AT5G13490/AT5G48930/AT2G19190/AT1G51680/AT3G56240/AT5G45110/AT3G44720/AT5G50200/AT5G65870/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G18280/AT4G16760/AT1G28190/AT4G21120/AT4G34710/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT1G61660/AT4G05590/AT1G05010/AT4G20830/AT1G77380,31
cluster2,GO:0009636,response to toxic substance,33/503,430/20876,5.416926465985786e-9,2.7437910142928e-7,2.1147085928997143e-7,AT4G18170/AT2G36950/AT1G02930/AT1G02920/AT1G78370/AT1G09080/AT3G43800/AT5G17380/AT3G58810/AT2G32920/AT1G69920/AT2G02380/AT2G29460/AT4G08230/AT2G25110/AT1G77510/AT4G21120/AT4G24190/AT5G23540/AT4G16660/AT1G74590/AT2G41380/AT2G02390/AT1G30700/AT1G30070/AT1G27980/AT5G13330/AT3G26470/AT2G02810/AT2G29500/AT5G22300/AT3G62600/AT4G15610,33
cluster2,GO:0010243,response to organonitrogen compound,33/503,443/20876,1.1248861405610067e-8,5.460384807306554e-7,4.2084556048181526e-7,AT3G47380/AT2G19190/AT1G19380/AT2G23320/AT5G45110/AT4G28350/AT1G18570/AT5G01540/AT4G21390/AT2G35160/AT1G51800/AT1G51820/AT3G23250/AT3G55430/AT1G26420/AT5G64120/AT2G38250/AT1G66160/AT1G05010/AT4G23190/AT4G20830/AT3G13790/AT2G32190/AT1G74650/AT5G66210/AT3G18710/AT2G42360/AT5G66070/AT5G64660/AT1G02360/AT1G61890/AT4G22530/AT1G61360,33
cluster2,GO:0046686,response to cadmium ion,34/503,470/20876,1.393423271628853e-8,6.493352445790455e-7,5.004589687155418e-7,AT4G34050/AT4G34180/AT3G44320/AT2G36880/AT1G02930/AT1G23190/AT3G56240/AT5G02380/AT5G20830/AT1G02920/AT3G13110/AT3G52880/AT4G31990/AT3G08590/AT4G19880/AT4G25900/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT3G48000/AT4G16760/AT5G64250/AT3G23250/AT1G77510/AT4G24190/AT5G23540/AT2G35840/AT1G54270/AT2G41380/AT3G12500/AT5G60360/AT4G21680/AT2G44060,34
cluster2,GO:0015698,inorganic anion transport,24/503,256/20876,1.5981716721062154e-8,7.161038453860542e-7,5.5191920498243e-7,AT5G10180/AT4G19690/AT1G09560/AT2G18980/AT1G08670/AT3G26570/AT3G04720/AT5G50200/AT5G59540/AT1G55920/AT3G58810/AT2G01830/AT2G22470/AT5G10580/AT5G24030/AT3G59220/AT1G68740/AT5G64120/AT3G12500/AT1G69480/AT1G73220/AT3G13790/AT1G02360/AT4G15610,24
cluster2,GO:0098754,detoxification,22/503,226/20876,3.234064911147674e-8,1.3954391190692739e-6,1.0754999490093432e-6,AT4G18170/AT2G36950/AT1G02930/AT1G02920/AT1G78370/AT3G43800/AT5G17380/AT3G58810/AT1G69920/AT2G02380/AT2G29460/AT4G21120/AT5G23540/AT1G74590/AT2G41380/AT2G02390/AT1G30700/AT1G27980/AT5G13330/AT3G26470/AT5G22300/AT4G15610,22
cluster2,GO:0002679,respiratory burst involved in defense response,16/503,121/20876,3.556987884190346e-8,1.428927891407501e-6,1.1013105862847062e-6,AT2G23320/AT4G21390/AT1G51800/AT1G51820/AT3G23250/AT1G26420/AT5G64120/AT1G66160/AT4G20830/AT3G13790/AT2G42360/AT5G66070/AT5G64660/AT1G02360/AT4G22530/AT1G61360,16
cluster2,GO:0045730,respiratory burst,16/503,121/20876,3.556987884190346e-8,1.428927891407501e-6,1.1013105862847062e-6,AT2G23320/AT4G21390/AT1G51800/AT1G51820/AT3G23250/AT1G26420/AT5G64120/AT1G66160/AT4G20830/AT3G13790/AT2G42360/AT5G66070/AT5G64660/AT1G02360/AT4G22530/AT1G61360,16
cluster2,GO:0034976,response to endoplasmic reticulum stress,28/503,357/20876,5.033667622124546e-8,1.954740926591699e-6,1.5065678883060486e-6,AT1G75390/AT1G09560/AT5G17990/AT1G09080/AT5G50200/AT2G38860/AT5G06860/AT2G29120/AT2G43000/AT2G32920/AT4G25900/AT5G01540/AT5G38900/AT4G08230/AT1G65690/AT2G25110/AT1G77510/AT4G24190/AT5G67340/AT4G16660/AT1G30070/AT4G23190/AT4G20830/AT2G02810/AT2G29500/AT1G72280/AT3G62600/AT4G22530,28
cluster2,GO:0010167,response to nitrate,20/503,197/20876,6.814412179984853e-8,2.560900061187856e-6,1.9737499455100443e-6,AT4G19690/AT1G09560/AT2G18980/AT1G08670/AT3G04720/AT5G50200/AT5G59540/AT1G55920/AT3G58810/AT2G22470/AT5G10580/AT5G24030/AT3G59220/AT5G64120/AT3G12500/AT4G24020/AT4G21680/AT3G13790/AT1G02360/AT4G15610,20
cluster2,GO:0009404,toxin metabolic process,21/503,223/20876,1.1730969199536659e-7,4.270805974206315e-6,3.2916173444752534e-6,AT4G18170/AT2G36950/AT1G02930/AT1G02920/AT1G78370/AT3G43800/AT5G17380/AT2G43000/AT1G69920/AT2G02380/AT2G29460/AT4G21120/AT5G23540/AT1G74590/AT2G41380/AT2G02390/AT1G30700/AT1G27980/AT5G13330/AT3G26470/AT4G15610,21
cluster2,GO:0009611,response to wounding,26/503,335/20876,1.8650261719193806e-7,6.58410754632145e-6,5.0745369207248226e-6,AT1G76930/AT4G34050/AT3G21240/AT5G48930/AT1G51680/AT5G47910/AT3G56240/AT1G19380/AT5G54160/AT5G50200/AT3G50760/AT2G26690/AT1G60710/AT4G21390/AT1G04220/AT4G16760/AT3G23250/AT4G34710/AT5G67340/AT3G12500/AT5G51640/AT4G23190/AT4G20830/AT3G13790/AT3G44540/AT4G24380,26
cluster2,GO:0009407,toxin catabolic process,20/503,211/20876,2.1099833406248963e-7,7.22979585831766e-6,5.5721851069753455e-6,AT4G18170/AT2G36950/AT1G02930/AT1G02920/AT1G78370/AT3G43800/AT5G17380/AT1G69920/AT2G02380/AT2G29460/AT4G21120/AT5G23540/AT1G74590/AT2G41380/AT2G02390/AT1G30700/AT1G27980/AT5G13330/AT3G26470/AT4G15610,20
cluster2,GO:0044106,cellular amine metabolic process,17/503,167/20876,6.310467249704804e-7,2.08961084634605e-5,1.6105155201564768e-5,AT4G34050/AT5G53120/AT1G51680/AT2G36880/AT3G56240/AT5G56080/AT5G17990/AT5G54160/AT1G78370/AT3G13110/AT3G28940/AT2G38860/AT3G13520/AT5G24030/AT1G51800/AT4G34710/AT3G59410,17
cluster2,GO:0015706,nitrate transport,19/503,206/20876,6.457166563816119e-7,2.08961084634605e-5,1.6105155201564768e-5,AT4G19690/AT1G09560/AT2G18980/AT1G08670/AT3G04720/AT5G50200/AT5G59540/AT1G55920/AT3G58810/AT2G22470/AT5G10580/AT5G24030/AT3G59220/AT5G64120/AT3G12500/AT1G73220/AT3G13790/AT1G02360/AT4G15610,19
cluster2,GO:0006576,cellular biogenic amine metabolic process,16/503,157/20876,1.3257268318266327e-6,4.1742479975081816e-5,3.2171976886148445e-5,AT4G34050/AT5G53120/AT1G51680/AT2G36880/AT3G56240/AT5G56080/AT5G17990/AT5G54160/AT1G78370/AT3G13110/AT3G28940/AT2G38860/AT3G13520/AT5G24030/AT1G51800/AT4G34710,16
cluster2,GO:0050832,defense response to fungus,25/503,351/20876,1.5645453731239764e-6,4.7965667360248225e-5,3.6968343581018056e-5,AT3G47380/AT2G19190/AT5G47910/AT2G34930/AT2G43510/AT1G02920/AT4G11650/AT3G04720/AT5G45110/AT5G06860/AT4G28350/AT1G18570/AT5G01540/AT4G21390/AT5G38900/AT1G51800/AT4G16760/AT2G25110/AT5G64120/AT5G67340/AT3G12500/AT1G05010/AT4G23190/AT5G64660/AT1G02360,25
cluster2,GO:0009308,amine metabolic process,19/503,229/20876,3.1645334978196596e-6,9.45302955117924e-5,7.28568710834054e-5,AT4G34050/AT5G53120/AT1G51680/AT2G36880/AT3G56240/AT5G56080/AT5G17990/AT5G54160/AT3G25730/AT1G78370/AT3G13110/AT3G28940/AT2G38860/AT5G37680/AT3G13520/AT5G24030/AT1G51800/AT4G34710/AT3G59410,19
cluster2,GO:0035556,intracellular signal transduction,30/503,495/20876,4.051533277723494e-6,1.1800090671369675e-4,9.094626015521422e-5,AT5G63780/AT3G47380/AT2G19190/AT2G23320/AT5G39610/AT5G06860/AT1G33590/AT5G25190/AT5G15830/AT2G01830/AT5G03730/AT1G18570/AT4G03960/AT5G01540/AT1G54100/AT1G59940/AT5G37780/AT3G54150/AT1G28190/AT3G59770/AT3G23250/AT3G06110/AT5G67340/AT3G12500/AT5G51640/AT1G66160/AT1G05010/AT5G66070/AT5G64660/AT4G27080,30
cluster2,GO:0009310,amine catabolic process,13/503,117/20876,4.996667054120274e-6,1.3859802662024093e-4,1.0682097737254621e-4,AT4G34050/AT1G51680/AT2G36880/AT3G56240/AT5G17990/AT5G54160/AT1G78370/AT3G13110/AT3G28940/AT2G38860/AT3G13520/AT5G24030/AT1G51800,13
