SampleID	genotype	SynCom	compartment	flg22	biological replicate	technical replicate	root weight
wer143	Col-0	NS	root	TRUE	c	2	0.0279
wer144	Col-0	NS	root	TRUE	c	3	0.0248
wer145	Col-0	S	root	FALSE	c	1	0.0364
wer146	Col-0	S	root	FALSE	c	2	0.036
wer147	Col-0	S	root	FALSE	c	3	0.0411
wer148	Col-0	S	root	TRUE	c	1	0.0341
wer149	Col-0	S	root	TRUE	c	2	0.0368
wer150	Col-0	S	root	TRUE	c	3	0.0418
wer151	Col-0	NS+S	root	FALSE	c	1	0.0468
wer152	Col-0	NS+S	root	FALSE	c	2	0.0362
wer153	Col-0	NS+S	root	FALSE	c	3	0.0403
wer154	Col-0	NS+S	root	TRUE	c	1	0.0452
wer155	Col-0	NS+S	root	TRUE	c	2	0.0387
wer156	Col-0	NS+S	root	TRUE	c	3	0.0335
wer157	Col-0	NS	agar_plant	FALSE	c	1	NA
wer158	Col-0	NS	agar_plant	TRUE	c	1	NA
wer159	Col-0	S	agar_plant	FALSE	c	1	NA
wer160	Col-0	S	agar_plant	TRUE	c	1	NA
wer161	Col-0	NS+S	agar_plant	FALSE	c	1	NA
wer162	Col-0	NS+S	agar_plant	TRUE	c	1	NA
wer163	agar	NS	agar	FALSE	c	1	NA
wer164	agar	NS	agar	TRUE	c	1	NA
wer165	agar	S	agar	FALSE	c	1	NA
wer166	agar	S	agar	TRUE	c	1	NA
wer167	agar	NS+S	agar	FALSE	c	1	NA
wer168	agar	NS+S	agar	TRUE	c	1	NA
wer169	input	NS	input	FALSE	c	1	NA
wer170	input	S	input	FALSE	c	1	NA
wer171	input	NS+S	input	FALSE	c	1	NA
wer172	Root60	single	input	FALSE	a	1	NA
wer173	Root1290	single	input	FALSE	a	1	NA
wer174	Root231	single	input	FALSE	a	1	NA
wer175	Root434	single	input	FALSE	a	1	NA
wer176	Root9	single	input	FALSE	a	1	NA
wer177	Root553	single	input	FALSE	a	1	NA
wer178	Root342	single	input	FALSE	a	1	NA
wer179	Root1212	single	input	FALSE	a	1	NA
wer180	Root16D2	single	input	FALSE	a	1	NA
wer181	Root179	single	input	FALSE	a	1	NA
wer182	E.coli 	single	input	FALSE	a	1	NA
